LINHA;NOME DA ESTAÇÃO;SIGLA DA ESTAÇÃO;DESCRIÇÃO DO PRODUTO;GRUPO v1;GRUPO;LOCALIZACAO;Codigo;Codigov2;;PAINEL
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -9;BAS-PS-9;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -13;BAS-PS-13;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -5;BAS-PS-5;;
3;ESTACAO BRAS                  ;BAS;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BAS-MLS-4;BAS-MLS-4;;
3;ESTACAO BRAS                  ;BAS;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BAS-MLS-5;BAS-MLS-5;;
3;ESTACAO BRAS                  ;BAS;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;BAS-PP -1;BAS-PP-1;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -1;BAS-PS-1;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS-15;BAS-PS-15;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -2;BAS-PS-2;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -6;BAS-PS-6;;
3;ESTACAO BRAS                  ;BAS;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;BAS-PP -3;BAS-PP-3;;
3;ESTACAO BRAS                  ;BAS;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;BAS-PP -4;BAS-PP-4;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -3;BAS-PS-3;;
3;ESTACAO BRESSER-MOOCA         ;BRE;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BRE-MLS-3;BRE-MLS-3;x;
3;ESTACAO BRESSER-MOOCA         ;BRE;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BRE-MLS-8;BRE-MLS-8;;
3;ESTACAO BRESSER-MOOCA         ;BRE;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BRE-MPS-1;BRE-MPS-1;;
3;ESTACAO BRESSER-MOOCA         ;BRE;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BRE-MLS-9;BRE-MLS-9;;
3;ESTACAO BRESSER-MOOCA         ;BRE;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BRE-MLS-1;BRE-MLS-1;;
3;ESTACAO BRESSER-MOOCA         ;BRE;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BRE-MLS-2;BRE-MLS-2;;
3;ESTACAO BRESSER-MOOCA         ;BRE;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BRE-MLS-6;BRE-MLS-6;;
3;ESTACAO BRESSER-MOOCA         ;BRE;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BRE-MPS-2;BRE-MPS-2;;
3;ESTACAO BRESSER-MOOCA         ;BRE;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;BRE-MPP-3;BRE-MPP-3;;
3;ESTACAO BRESSER-MOOCA         ;BRE;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;BRE-MPP-4;BRE-MPP-4;;
3;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-1;BGD-MPS-1;x;
3;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-19;BGD-MPS-19;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BGD-MLS-15 ;BGD-MLS-15;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BGD-MPS-17;BGD-MPS-17;;
2;ESTACAO BRIGADEIRO            ;BGD;SUPER ACESSO;SUPER;PAINEL SUPER;ACESSO;BGD-AS -1;BGD-AS-1;;
2;ESTACAO BRIGADEIRO            ;BGD;CLÁSSICO MEZANINO LIVRE;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO LIVRE;BGD-MLC-3;BGD-MLC-3;;
